Sn,Sex,District Code,School,Weight,Program,University ,Intake Year
1,F,29,"UGANDA MARTYRS S.S., NAMUGONGO",54.3,Bachelor Of Business Administration,MAK,2024/25
2,F,16,SEETA HIGH SCHOOL,53.5,Bachelor Of Business Administration,MAK,2024/25
3,F,55,ST MARY'S SS  KITENDE,51.3,Bachelor Of Business Administration,MAK,2024/25
4,F,55,ST MARY'S SS  KITENDE,50.8,Bachelor Of Business Administration,MAK,2024/25
5,F,25,ST MARY'S SS  KITENDE,50.7,Bachelor Of Business Administration,MAK,2024/25
6,F,16,"MT.ST.MARY'S, NAMAGUNGA",48.9,Bachelor Of Business Administration,MAK,2024/25
7,M,108,MIDLAND HIGH SCHOOL,48.7,Bachelor Of Business Administration,MAK,2024/25
8,F,55,ST MARY'S SS  KITENDE,48.6,Bachelor Of Business Administration,MAK,2024/25
9,F,76,BP CYPRIAN KIHANGIRE SS LUZIRA,48.6,Bachelor Of Business Administration,MAK,2024/25
10,F,55,ST MARY'S SS  KITENDE,48.5,Bachelor Of Business Administration,MAK,2024/25
11,F,89,ST.FRANCIS BORGIA HIGH SCHOOL,48,Bachelor Of Business Administration,MAK,2024/25
12,F,3,"ST.JOSEPH'S GIRLS, NSAMBYA",47.9,Bachelor Of Business Administration,MAK,2024/25
13,F,55,BUDDO SEC. SCHOOL,47.7,Bachelor Of Business Administration,MAK,2024/25
14,F,86,BWERANYANGI GIRLS' SCHOOL,47.6,Bachelor Of Business Administration,MAK,2024/25
15,F,37,"SEETA H/S GREEN CAMPUS, MUKONO",47.5,Bachelor Of Business Administration,MAK,2024/25
16,F,85,"ST.NOA MAWAGALI SS, JINJA",47.5,Bachelor Of Business Administration,MAK,2024/25
17,F,16,MENGO SECONDARY SCHOOL ANNEX,47.5,Bachelor Of Business Administration,MAK,2024/25
18,F,55,SEETA HIGH SCHOOL - A' LEVEL CAMPUS,47.5,Bachelor Of Business Administration,MAK,2024/25
19,M,16,MENGO SECONDARY SCHOOL,50.3,Bachelor Of Science In Agricultural Engineering,MAK,2024/25
20,M,16,"ST.MARIA GORETTI S.S, KATENDE",49.5,Bachelor Of Science In Agricultural Engineering,MAK,2024/25
21,M,13,FORT-PORTAL SS,49.3,Bachelor Of Science In Agricultural Engineering,MAK,2024/25
22,M,55,MENGO SECONDARY SCHOOL,48.4,Bachelor Of Science In Agricultural Engineering,MAK,2024/25
23,F,47,"ST. ELIZABETH GIRLS SECONDARY SCHOOL, MITYANA",48.2,Bachelor Of Science In Agricultural Engineering,MAK,2024/25
24,M,13,FORT-PORTAL SS,48.1,Bachelor Of Science In Agricultural Engineering,MAK,2024/25
